Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital Status,Religion,State,Education Required,Minority Status,For Orphans,Eligibility Summary
Best Livestock Keeper Award Function,"Recognition, Animal Husbandry","Awards to outstanding pastoralists at Taluka, District, and State levels for animal care excellence.",https://www.myschemes.gov.in/,18,None,Any,Any,null,Livestock keepers,No,Any,Any,Gujarat,None,Any,No,Livestock keepers with excellence
Establishment of Goat Unit (10+1),Animal Husbandry,Promotes goat breeding for genetic improvement and livelihood support to goat breeders.,https://www.myschemes.gov.in/,18,None,Any,Any,null,Goat breeders,No,Any,Any,Gujarat,None,Any,No,Goat breeders in Gujarat
Solar Plant Subsidy in Milk Cooperatives (Tribal Areas),"Renewable Energy, Dairy",75% subsidy on 1KW–40KW solar plant setup in milk cooperatives in tribal areas.,https://www.myschemes.gov.in/,None,None,Any,Any,null,Milk cooperative societies,No,Any,Any,Gujarat,None,Any,No,Milk cooperatives in tribal areas
Packing Material Subsidy – Horticultural Produce,"Horticulture, Post-Harvest","Financial aid for packing materials (e.g., wooden/corrugated boxes) to minimize post-harvest loss.",https://www.myschemes.gov.in/,18,None,Any,Any,null,Horticulture farmers,No,Any,Any,Gujarat,None,Any,No,Horticulture farmers in Gujarat
Floriculture Crop Plantation Assistance,"Agriculture, Floriculture","Assistance to grow tuberous, loose, and cut flowers",https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmer,No,Any,Any,Gujarat,None,No,No,Farmers engaged in flower cultivation
Area Expansion of Spice Crops,"Agriculture, Spices",Subsidy for seed/rhizomatic spice cultivation,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmer,No,Any,Any,Gujarat,None,No,No,Farmers engaged in spice cultivation
Pandit Dindayal Upadhyay Awas Yojana,"Housing, SEBC",₹1.2 lakh aid to SEBC/EBC/nomadic castes for home building,https://www.myschemes.gov.in/,18,None,Any,SEBC/EBC/Nomadic,Any,Any,No,Any,Any,Gujarat,None,No,No,Economically weaker SEBC/EBC/nomadic caste families
Commercial Pilot Training Loan (GUEEDC),Education Loan,Up to ₹25 lakh @ 4% for unreserved CPL trainees,https://www.myschemes.gov.in/,17,None,Any,General,Any,Student,No,Any,Any,Gujarat,CPL Eligibility,No,No,Unreserved candidates admitted to CPL courses
Pashupalan Dhiran Yojana,"Animal Husbandry, SEBC",Loans for Rabari & Bharwad castes to promote livestock farming,https://www.myschemes.gov.in/,18,None,Any,SEBC (Rabari/Bharwad),Any,Livestock farmer,No,Any,Any,Gujarat,None,No,No,Rabari/Bharwad caste livestock breeders in Gujarat
Sindhu Darshan Scheme,"Tourism, Pilgrimage","₹15,000 aid to Gujaratis on Sindhu Darshan Yatra (Leh‑Ladakh)",https://www.myschemes.gov.in/,18,None,Any,Any,Any,Pilgrim,No,Any,Any,Gujarat,None,No,No,Native Gujaratis taking the specified pilgrimage
Uniform Assistance for ST Students (Classes 1–8),"Education, ST Welfare",₹900 for 3 uniform sets for ST students (Std 1–8),https://www.myschemes.gov.in/,6,14,Any,ST,Any,Student,No,Any,Any,Gujarat,Std 1–8 enrollment,No,No,ST students in government/aided schools (Std 1–8)
Mukhyamantri Kisan Sahay Yojana,"Agriculture, Disaster Relief",Relief aid for crop losses due to calamities,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmer,No,Any,Any,Gujarat,None,No,No,Gujarat farmers who suffered crop damage
Goat Unit (10+1) Subsidy for General Category,Animal Husbandry,Subsidy for general category goat breeders (10+1 unit),https://www.myschemes.gov.in/,18,None,Any,General,Any,Goat breeder,No,Any,Any,Gujarat,None,No,No,Economically weaker general category livestock breeders
Stipend for Poultry Farming Training (SC),"Training, Animal Husbandry",Training stipend for SC individuals in poultry farming,https://www.myschemes.gov.in/,18,None,Any,SC,Any,SC poultry farmer,No,Any,Any,Gujarat,None,No,No,SC individuals undertaking poultry farming training
Startup/Innovation Assistance Scheme (2020–2025),"Entrepreneurship, Innovation",Financial and tech support for R&D and scaling,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Startup / Entrepreneur,No,Any,Any,Gujarat,None,No,No,Startups/entrepreneurs registered in Gujarat
Shramik Basera Yojana (GBOCWWB),"Labour Welfare, Housing",Prefab shelter at ₹5/day for registered construction workers,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Registered construction worker,No,Any,Any,Gujarat,None,No,No,Registered construction labourers
Labour Accident Benefit Scheme (GLWB),"Labour Welfare, Disability",Aid to industrial workers disabled in workplace accidents,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Industrial worker,Yes,Any,Any,Gujarat,None,No,No,Organized sector workers disabled at workplace
Shramyogi Cycle Subsidy Scheme (GLWB),"Labour Welfare, Transport",Bicycle purchase subsidy for organized labour,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Shramyogi (organized labour),No,Any,Any,Gujarat,None,No,No,Registered organized labour eligible
Fellowship for SC M.Phil & Ph.D Students (MS Gayakwad Scholarship),"Higher Education, SC Welfare",Monthly fellowship for SC M.Phil/Ph.D students,https://www.myschemes.gov.in/,21,None,Any,SC,Any,Student (M.Phil/Ph.D),No,Any,Any,Gujarat,M.Phil or Ph.D enrollment,No,No,SC students pursuing M.Phil or Ph.D
Accidental Death Assistance – GLWB,"Labour Welfare, Insurance",Financial support for families of labourers who die on duty,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Industrial worker,No,For deceased’s family,Any,Gujarat,None,No,No,Families of industrial workers who die in workplace accidents
Pre‑SSC SC Student Scholarship (Parixitlal Majmudar),"Education, SC Welfare",Scholarships for SC students Class 1–10 in schools,https://www.myschemes.gov.in/,6,16,Any,SC,Any,Student,No,Any,Any,Gujarat,Std 1–10 enrollment,No,No,SC students enrolled in Std 1–10 schools
Sarasvati Sadhana Yojana – Free Cycles for SC Girls,Education,Free bicycles to SC girls in Std 9 government/aided schools,https://www.myschemes.gov.in/,13,15,Female,SC,Any,Student,No,Any,Any,Gujarat,Std 9 enrollment,No,No,SC girls studying in Std 9
Dr. Babasaheb Ambedkar Foreign Study Loan,Education Loan,₹15 lakh @ 4% loan for SC students going abroad,https://www.myschemes.gov.in/,18,None,Any,SC,Any,Student,No,Any,Any,Gujarat,Graduation/Diploma,No,No,SC students with confirmed foreign admission & visa; academic qualifications required
Loan/Subsidy to Buy Business Premises (SC),Entrepreneurship,Financial help to SC individuals for buying urban shops/business spaces,https://www.myschemes.gov.in/,18,None,Any,SC,Any,SC entrepreneur,No,Any,Any,Gujarat,Any,No,No,SC small business owners purchasing premises
Satyavadi Raja Harishchandra Marnotar Sahay Yojana,Welfare,Funeral expense assistance for deceased SC family members,https://www.myschemes.gov.in/,None,None,Any,SC,Any,Any,No,Any,Any,Gujarat,Any,No,No,Economically weaker SC families eligible
Manav Garima Yojana,Self‑Employment,Toolkit support for SC individuals to start cottage industries,https://www.myschemes.gov.in/,18,None,Any,SC,Any,SC individual,No,Any,Any,Gujarat,Any,No,No,SC individuals planning cottage industries
Cattle Shed Subsidy (SCSP),Animal Husbandry,Financial aid to SC farmers for building cattle sheds for 2 animals,https://www.myschemes.gov.in/,18,None,Any,SC,Any,Farmer,No,Any,Any,Gujarat,Any,No,No,SC farmers constructing cattle sheds
Fodder Minikits (SCSP),Agriculture,Distribution of improved fodder seed kits to SC farmers,https://www.myschemes.gov.in/,18,None,Any,SC,Any,Farmer,No,Any,Any,Gujarat,Any,No,No,SC farmers in Gujarat eligible
Divyang Lagna Sahay Yojana,PwD Welfare,Marriage financial aid to couples where at least one person is differently abled,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Any,Yes,Married,Any,Gujarat,Any,No,No,Disabled couples meeting age criteria eligible
25 R.I.R Birds Unit (SC),Poultry Farming,Subsidized poultry unit for SC families,https://www.myschemes.gov.in/,18,None,Any,SC,Any,SC beneficiary,No,Any,Any,Gujarat,Any,No,No,SC families starting poultry enterprises
Milch Animal Farm (1–20 Animals) – SC Category,Animal Husbandry,Loan interest subsidy for SC dairy farmers establishing small farms,https://www.myschemes.gov.in/,18,None,Any,SC,Any,SC dairy farmer,No,Any,Any,Gujarat,Any,No,No,SC dairy farmers setting up 1–20 animal herds
Vandan Matru Yojana,Maternity & Health,Financial support to pregnant/lactating women from EWS,https://www.myschemes.gov.in/,18,45,Female,Any,Any,Pregnant/Lactating women,No,Any,Any,Gujarat,None,No,No,EWS pregnant or lactating women in Gujarat
Mukhyamantri Apprenticeship Yojana,Employment & Skills,Apprenticeship program with youth training stipends and employer incentives,https://www.myschemes.gov.in/,15,35,Any,Any,Any,Apprentice / Employer,No,Any,Any,Gujarat,≥ Class 5 + trade eligibility,No,No,"Youth with minimum education, fitness, and eligibility for apprenticeship"
Aatmanirbhar Gujarat: Rent to MSEs,MSME Support,Rent reimbursement scheme to help MSMEs offset expenses,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Registered MSE,No,Any,Any,Gujarat,Any,No,No,Registered micro/small enterprises in Gujarat eligible
Aatmanirbhar Gujarat: EPF Reimbursement (Mega Industries),Industrial Promotion,EPF reimbursement for large industries switching to clean energy,https://www.myschemes.gov.in/,None,None,Any,Any,Any,Mega Industry,No,Any,Any,Gujarat,Any,No,No,Mega industries in Gujarat adopting clean energy initiatives
Aatmanirbhar Gujarat: Capital via SME Exchange,MSME Support,MSME equity support through SME stock exchange listing,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Registered MSME,No,Any,Any,Gujarat,Any,No,No,MSMEs in Gujarat listing on SME exchange
R&D Assistance: Govt R&D Labs,Research & Development,Financial aid to government-funded labs for innovation and tech advancement,https://www.myschemes.gov.in/,None,None,Any,Any,Any,Govt/Central R&D Lab,No,Any,Any,Gujarat,Any,No,No,Government R&D labs in Gujarat
R&D Assistance: Industrial Association Labs,Research & Development,Financial support for R&D labs set up by industrial associations,https://www.myschemes.gov.in/,None,None,Any,Any,Any,Industry Association,No,Any,Any,Gujarat,Any,No,No,Industrial associations in Gujarat
Logistics Facilities: Interest Subsidy,Infrastructure,Interest subsidy for developers building integrated logistics parks,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Logistics Park Developer,No,Any,Any,Gujarat,Any,No,No,Developers constructing logistics parks in Gujarat
Common Environment Infrastructure,Environment,Aid to industrial clusters/associations to set up shared environmental infrastructure,https://www.myschemes.gov.in/,None,None,Any,Any,Any,Industrial Cluster/Association,No,Any,Any,Gujarat,Any,No,No,Industrial clusters in Gujarat eligible
Startups/Innovation: Interest Subsidy,Startups & Innovation,Interest subsidy to reduce financial burden for early-phase startups,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Registered Startup,No,Any,Any,Gujarat,Any,No,No,Startups registered in Gujarat
Vandan Matru Yojana,Maternity & Health,Financial support to pregnant & lactating women from EWS to improve maternal and child health.,https://www.myschemes.gov.in/,19,55,Female,Any,Any,Pregnant/Lactating women,No,Any,Any,Gujarat,None,No,No,"Pregnant or lactating women aged 19–55 under EWS, first child, registered pregnancy, fulfilling ANC & immunization conditions"
Mukhyamantri Apprenticeship Yojana,Employment & Skills,Apprenticeship program to enhance youth employability with stipends and employer incentives.,https://www.myschemes.gov.in/,14,None,Any,Any,Any,Apprentice / Employer,No,Any,Any,Gujarat,Minimum Class 5 + trade-specific,No,No,"Gujarat residents ≥ 14 yrs (≥ 18 if hazardous), minimum Class 5 pass, trade requirements, physical fitness, first-time apprentices"
Aatmanirbhar Gujarat: Rent to MSEs,MSME Support,Rent reimbursement to MSEs to alleviate operational costs.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Registered Micro/Small Enterprises,No,Any,Any,Gujarat,None,No,No,Registered MSMEs in Gujarat eligible
Aatmanirbhar Gujarat: EPF Reimbursement (Mega Industries),Industrial Promotion,EPF reimbursement for large industries adopting clean energy practices.,https://www.myschemes.gov.in/,None,None,Any,Any,Any,Mega Industries,No,Any,Any,Gujarat,None,No,No,Mega industries in Gujarat promoting clean energy solutions
Aatmanirbhar Gujarat: Capital via SME Exchange,MSME Support,Assistance to MSMEs in raising equity capital via SME exchanges.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Registered MSMEs,No,Any,Any,Gujarat,None,No,No,Registered MSMEs seeking SME exchange funding
R&D Assistance: Govt R&D Labs,Research & Development,Financial aid to Government-funded labs for innovation and tech advancement.,https://www.myschemes.gov.in/,None,None,Any,Any,Any,Govt/Central R&D Lab,No,Any,Any,Gujarat,None,No,No,Govt-funded R&D labs in Gujarat eligible
R&D Assistance: Industrial Association Labs,Research & Development,Support to industry associations establishing R&D facilities.,https://www.myschemes.gov.in/,None,None,Any,Any,Any,Industrial Association,No,Any,Any,Gujarat,None,No,No,Industry associations in Gujarat eligible
Logistics Facilities: Interest Subsidy,Infrastructure,Subsidy on interest for developers building integrated logistics parks.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Private logistics park developers,No,Any,Any,Gujarat,None,No,No,Developers of logistics parks in Gujarat
Common Environment Infrastructure,Environment,Support to set up common-use environmental infrastructure facilities.,https://www.myschemes.gov.in/,None,None,Any,Any,Any,Industrial clusters / associations,No,Any,Any,Gujarat,None,No,No,Industrial clusters in Gujarat eligible
Startups/Innovation: Interest Subsidy,Startups & Innovation,Interest subsidy to ease financial burden for startups in initial phase.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Registered Startups,No,Any,Any,Gujarat,None,No,No,Startups registered in Gujarat eligible
Gujarat Textile Policy: Power Tariff Subsidy,"MSME, Textile",Power tariff subsidy for labour-intensive textile MSMEs.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Textile MSMEs,No,Any,Any,Gujarat,None,No,No,Registered textile MSMEs in Gujarat eligible
Vahli Dikri Yojana,"Women, Child Welfare",Financial support for girl children to reduce dropout rates and promote education,https://www.myschemes.gov.in/,0,18,Female,Any,"₹2,00,000",Any,No,Unmarried,Any,Gujarat,None,No,No,"Girl child of Gujarat resident, first two daughters only, must be unmarried at 18 for final payout"
Training Assistance for Competitive Exams,"Education, Youth",Assistance to non-reserved students preparing for government exams,https://www.myschemes.gov.in/,17-18,None,Any,General,"₹4,50,000",Student,No,Any,Any,Gujarat,"12th (Science, ≥70%)",No,No,"Non-reserved students, science stream, preparing for competitive exams, income ≤ ₹4.5 lakh"
